Player,From,To,Years,Pos,Ht,Height,Wt,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,BLK Champ,STL Champ,TRB Champ,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team
Ersan İlyasova,2007,2021,15,F,6-9,6.75,235.0,825,10.1,5.6,1.1,44.3,36.7,77.7,50.6,15.4,48.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrall Imhoff,1961,1972,12,C,6-10,6.833333333333333,220.0,801,7.2,7.6,1.8,45.8,14.2,59.4,45.9,12.3,30.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Ingelsby,1974,1976,3,G,6-3,6.25,180.0,75,3.2,1.3,1.0,42.4,20.0,77.3,42.6,11.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Ingles,2015,2022,8,G-F,6-8,6.666666666666667,220.0,590,8.6,3.2,3.8,44.9,40.8,76.8,58.3,12.7,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damien Inglis,2016,2016,1,F,6-8,6.666666666666667,246.0,20,1.8,1.6,0.5,35.1,23.1,87.5,39.2,6.7,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Ingram,2018,2019,2,G,6-3,6.25,190.0,6,4.0,1.3,1.2,34.8,41.7,100.0,45.7,10.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Ingram,2017,2022,6,F,6-8,6.666666666666667,190.0,368,18.5,5.2,3.8,46.1,36.0,76.9,50.7,15.3,18.7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
McCoy Ingram,1958,1958,1,F,6-8,6.666666666666667,210.0,24,2.8,4.8,0.8,26.2,23.4,46.4,45.3,7.6,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ervin Inniger,1968,1969,2,G,6-4,6.333333333333333,190.0,109,8.8,3.5,1.4,43.0,16.7,74.1,43.4,12.2,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Irvin,1990,1993,4,G,6-5,6.416666666666667,190.0,87,5.2,1.4,0.8,47.1,35.0,72.2,48.1,16.0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Irvine,1971,1976,6,G-F,6-6,6.5,200.0,325,9.5,3.0,1.3,51.7,27.4,82.6,52.5,14.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrie Irving,2012,2022,11,G,6-2,6.166666666666667,195.0,611,23.1,3.8,5.7,47.0,39.3,88.2,53.2,22.4,72.0,7,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Jonathan Isaac,2018,2020,3,F,6-11,6.916666666666667,230.0,136,9.3,5.4,1.1,43.5,33.0,79.7,49.6,13.7,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Issel*,1971,1985,15,F-C,6-9,6.75,235.0,1218,22.6,9.1,2.4,49.9,20.4,79.3,50.0,21.4,157.8,7,0,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
Mike Iuzzolino,1992,1993,2,G,5-10,5.833333333333333,175.0,122,9.0,2.0,4.3,45.7,40.4,79.8,52.5,12.9,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Iverson*,1997,2010,14,G,6-0,6.0,165.0,914,26.7,3.7,6.2,42.5,31.3,78.0,45.2,20.9,99.0,11,7,0,1,0,0,3,0,0,4,0,0,0,1,2,0,0,1,0,1,0
Willie Iverson,1969,1969,1,G,6-0,6.0,180.0,28,4.9,1.6,2.9,34.2,0.0,60.0,34.2,4.7,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Ivey,2005,2014,10,G,6-3,6.25,200.0,492,3.3,1.1,1.0,40.6,36.1,70.6,45.9,8.4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elvin Ivory,1969,1969,1,F,6-8,6.666666666666667,210.0,20,4.4,3.3,0.5,43.7,25.0,64.7,44.3,14.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wes Iwundu,2018,2022,5,F,6-6,6.5,195.0,226,4.4,2.5,0.9,40.8,29.2,79.8,45.2,8.2,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren Jabali,1969,1975,7,G-F,6-2,6.166666666666667,200.0,447,17.1,6.7,5.3,43.1,31.9,75.6,45.7,16.3,35.1,4,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
Jarrett Jack,2006,2018,13,G,6-3,6.25,200.0,867,10.8,2.9,4.6,44.0,34.3,85.5,48.0,14.1,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Jackson,2018,2018,1,G,6-4,6.333333333333333,185.0,1,8.0,3.0,1.0,33.3,25.0,50.0,38.9,2.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Jackson,1968,1968,1,G,6-1,6.083333333333333,185.0,2,0.0,0.0,0.5,0.0,27.9,73.7,44.1,-9.2,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Jackson,1998,2009,12,G,6-1,6.083333333333333,185.0,755,9.7,3.1,2.6,41.7,35.4,79.3,47.0,15.2,31.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cedric Jackson,2010,2010,1,G,6-3,6.25,191.0,12,1.7,0.7,1.2,30.0,16.7,58.3,32.5,5.5,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darnell Jackson,2009,2011,3,F,6-9,6.75,253.0,138,2.2,1.5,0.2,44.9,23.5,64.4,45.6,8.7,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetrius Jackson,2017,2019,3,G,6-1,6.083333333333333,201.0,26,1.8,0.7,0.7,48.6,28.6,66.7,54.1,13.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Jackson,2019,2022,4,G,6-3,6.25,205.0,213,8.5,1.8,1.0,42.2,33.3,78.6,50.2,10.4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Jackson,1975,1975,1,G,6-0,6.0,180.0,49,3.7,1.4,2.0,41.5,27.9,58.1,44.1,7.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Jackson,2022,2022,1,F-C,6-10,6.833333333333333,206.0,36,8.3,4.1,0.3,56.3,31.3,68.2,57.5,20.5,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaren Jackson,1990,2002,13,G-F,6-4,6.333333333333333,190.0,431,5.5,1.8,1.2,39.1,35.3,76.4,46.9,10.1,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jaren Jackson Jr.,2019,2022,4,F,6-11,6.916666666666667,242.0,204,15.8,5.1,1.2,45.3,35.1,79.1,52.1,16.7,12.8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jermaine Jackson,2000,2006,7,G,6-4,6.333333333333333,204.0,135,1.9,1.1,1.4,40.1,15.8,71.1,40.8,8.8,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Jackson,1993,2006,14,G,6-6,6.5,220.0,885,14.3,4.7,3.2,42.8,36.5,82.5,46.7,13.5,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Jackson,2018,2022,5,G-F,6-8,6.666666666666667,207.0,291,11.3,4.0,1.8,41.6,29.2,68.0,46.1,11.4,-1.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Jackson,2018,2022,5,G-F,6-8,6.666666666666667,220.0,255,6.5,2.5,1.1,42.6,32.1,79.9,50.4,10.1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Luke Jackson,1965,1972,8,F-C,6-9,6.75,240.0,522,9.9,8.8,1.6,41.5,17.7,72.2,48.4,12.7,22.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Luke Jackson,2005,2008,4,F,6-7,6.583333333333333,215.0,73,3.5,1.2,0.8,35.7,36.0,73.2,42.6,9.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Jackson,2001,2007,7,C,6-10,6.833333333333333,270.0,387,8.4,4.3,0.8,44.6,22.6,81.4,44.7,14.1,13.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Jackson,1988,2004,17,G,6-1,6.083333333333333,180.0,1296,9.6,3.8,8.0,44.7,33.2,77.0,48.1,16.0,91.8,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Mervin Jackson,1969,1973,5,G,6-3,6.25,175.0,262,11.6,3.3,3.1,41.1,33.6,81.7,42.0,11.8,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Michael Jackson,1988,1990,3,G,6-2,6.166666666666667,183.0,89,2.1,0.8,2.2,36.9,27.3,67.5,39.1,7.7,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Jackson,1973,1976,4,F,6-7,6.583333333333333,215.0,264,10.2,5.7,1.0,50.8,26.7,76.6,50.9,13.3,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myron Jackson,1987,1987,1,G,6-3,6.25,185.0,8,1.4,0.4,0.8,22.2,27.9,87.5,22.2,10.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Jackson*,1968,1980,13,F-C,6-8,6.666666666666667,220.0,807,6.7,4.3,1.1,45.3,0.0,73.6,45.3,12.5,29.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Pierre Jackson,2017,2017,1,G,5-10,5.833333333333333,180.0,8,4.4,1.1,2.4,33.3,27.3,85.7,37.2,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Jackson,1985,1985,1,G,6-2,6.166666666666667,190.0,1,2.0,1.0,4.0,33.3,27.9,73.7,33.3,15.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randell Jackson,1999,2000,2,F,6-11,6.916666666666667,215.0,28,4.1,1.9,0.3,42.6,14.3,65.6,43.1,11.5,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Jackson,2012,2022,11,G,6-2,6.166666666666667,208.0,703,13.1,3.0,4.3,42.4,34.5,85.4,48.3,15.3,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley Jackson,1994,1994,1,G,6-3,6.25,185.0,17,2.2,1.6,0.9,51.5,20.0,100.0,53.0,17.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Jackson,2001,2014,14,G-F,6-8,6.666666666666667,218.0,858,15.1,3.9,3.1,41.4,33.3,79.8,47.1,14.3,36.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tony Jackson,1968,1969,2,G-F,6-4,6.333333333333333,200.0,138,15.9,5.4,2.0,37.5,27.5,85.1,41.0,17.3,10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Jackson,1981,1981,1,G,6-0,6.0,170.0,2,1.0,1.0,1.0,33.3,27.9,73.7,33.3,12.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tracy Jackson,1982,1984,3,G-F,6-6,6.5,205.0,129,5.4,1.9,1.0,46.3,15.4,74.9,46.5,11.8,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wardell Jackson,1975,1975,1,F,6-7,6.583333333333333,200.0,56,4.3,2.4,0.5,39.7,23.4,71.8,45.3,7.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred Jacobs,1947,1947,1,F,6-3,6.25,175.0,18,2.8,3.0,0.3,27.5,23.4,48.0,45.3,10.9,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casey Jacobsen,2003,2008,6,G-F,6-6,6.5,215.0,287,5.2,1.8,1.1,39.3,35.2,76.9,48.0,9.2,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Jacobson,1999,2001,3,G-F,6-4,6.333333333333333,215.0,68,4.2,1.2,0.5,51.1,36.0,73.9,53.0,11.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Jamerson,1991,1994,4,G-F,6-5,6.416666666666667,190.0,90,3.4,0.9,0.7,39.2,27.7,86.0,41.3,12.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron James,1975,1979,5,F,6-8,6.666666666666667,210.0,356,10.8,4.1,1.0,48.1,23.4,76.0,45.3,13.6,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernard James,2013,2015,3,C,6-10,6.833333333333333,240.0,92,2.2,2.3,0.1,49.7,0.0,68.0,49.7,13.8,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy James,1974,1974,1,G,6-3,6.25,185.0,1,2.0,0.0,1.0,33.3,27.9,73.7,33.3,-4.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damion James,2011,2014,4,G-F,6-7,6.583333333333333,225.0,39,3.8,3.4,0.7,41.5,0.0,66.7,41.5,8.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gene James,1949,1951,3,F,6-4,6.333333333333333,180.0,88,3.4,2.9,1.1,33.4,23.4,56.1,45.3,10.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry James,1991,1998,8,F,6-8,6.666666666666667,220.0,212,6.1,1.5,0.4,41.4,37.8,81.0,48.1,11.3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome James,1999,2009,11,C,7-0,7.0,300.0,358,4.3,3.1,0.3,48.5,0.0,61.7,48.5,10.6,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin James,2020,2021,2,G,6-7,6.583333333333333,190.0,72,3.2,0.9,0.6,44.6,34.3,54.4,50.5,11.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LeBron James,2004,2022,19,G-F,6-9,6.75,250.0,1366,27.1,7.5,7.4,50.5,34.6,73.4,54.5,27.3,249.5,18,18,0,1,6,0,0,0,1,1,0,0,0,1,3,0,4,4,4,1,0
Mike James,2002,2014,13,G,6-2,6.166666666666667,188.0,595,9.9,2.2,3.5,41.7,37.9,80.2,48.4,14.0,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mike James,2018,2021,4,G,6-1,6.083333333333333,189.0,49,8.9,2.5,3.7,38.0,28.7,76.6,42.5,13.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim James,2000,2002,3,F,6-7,6.583333333333333,212.0,43,1.6,1.1,0.3,32.9,33.3,65.2,33.5,6.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antawn Jamison,1999,2014,16,F,6-8,6.666666666666667,223.0,1083,18.5,7.5,1.6,45.1,34.6,72.4,48.5,18.1,87.8,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Harold Jamison,2000,2002,3,F,6-8,6.666666666666667,260.0,37,1.9,1.6,0.3,46.0,23.4,42.4,46.0,11.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Janisch,1947,1948,2,G-F,6-3,6.25,200.0,70,10.5,3.1,0.7,28.8,28.6,65.4,47.1,12.5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howie Janotta,1950,1950,1,F,6-3,6.25,185.0,9,3.4,3.0,0.4,30.0,23.4,81.3,45.3,10.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marko Jarić,2003,2009,7,G,6-7,6.583333333333333,198.0,447,7.1,2.7,3.6,40.4,34.4,73.0,45.3,12.0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Jaros,1947,1951,5,G-F,6-3,6.25,185.0,242,5.4,2.1,0.9,30.6,28.6,70.2,47.1,12.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeJon Jarreau,2022,2022,1,G,6-5,6.416666666666667,185.0,1,0.0,0.0,0.0,38.6,27.9,73.7,44.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Jarvis,1968,1969,2,G,6-1,6.083333333333333,175.0,125,5.8,1.9,1.2,37.4,32.6,80.3,39.5,10.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Šarūnas Jasikevičius,2006,2007,2,G,6-4,6.333333333333333,195.0,138,6.8,1.6,2.9,39.7,35.5,90.8,48.3,12.7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Jawai,2009,2010,2,F-C,6-10,6.833333333333333,280.0,45,2.8,2.4,0.5,43.5,0.0,68.4,43.5,10.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buddy Jeannette*,1948,1950,3,G,5-11,5.916666666666667,175.0,139,7.2,1.8,2.1,34.1,27.9,78.1,44.1,10.3,15.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Abdul Jeelani,1980,1981,2,F-C,6-8,6.666666666666667,210.0,143,9.0,3.5,1.1,47.3,0.0,80.2,47.3,17.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Jefferies,2003,2004,2,G-F,6-8,6.666666666666667,225.0,72,3.9,1.2,0.4,38.3,36.5,66.7,44.9,7.2,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Othyus Jeffers,2010,2014,5,G,6-5,6.416666666666667,200.0,37,3.8,2.6,0.6,46.0,16.7,66.7,46.5,12.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Jefferson,2005,2018,14,F-C,6-10,6.833333333333333,289.0,915,15.7,8.4,1.5,49.9,12.1,71.1,49.9,20.6,71.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amile Jefferson,2019,2020,2,F,6-9,6.75,222.0,30,1.4,1.5,0.2,50.0,23.4,54.5,50.0,14.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cory Jefferson,2015,2016,2,F,6-9,6.75,218.0,58,3.5,2.8,0.3,44.4,12.5,58.3,45.0,13.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dontell Jefferson,2009,2009,1,G,6-5,6.416666666666667,195.0,6,4.8,2.0,1.5,50.0,50.0,66.7,52.3,12.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Jefferson,2002,2018,17,F,6-7,6.583333333333333,233.0,1181,12.6,4.0,2.0,46.4,37.6,76.8,51.1,14.4,83.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DaQuan Jeffries,2020,2022,3,G-F,6-5,6.416666666666667,230.0,47,3.8,1.9,0.6,43.8,29.1,85.7,51.5,8.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Jeffries,2003,2013,11,F,6-11,6.916666666666667,230.0,629,4.8,4.1,1.3,42.6,25.0,58.3,44.0,9.6,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Jenkins,2012,2013,2,G,6-3,6.25,220.0,110,3.7,0.9,1.9,43.4,18.2,75.4,43.9,10.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horace Jenkins,2005,2005,1,G,6-1,6.083333333333333,180.0,15,2.8,0.6,0.6,33.3,0.0,92.3,33.3,10.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Jenkins,2013,2019,7,G,6-4,6.333333333333333,215.0,171,5.0,1.5,0.8,44.1,36.7,84.7,52.4,11.7,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Jennings,2010,2018,9,G,6-1,6.083333333333333,170.0,555,14.1,3.0,5.7,38.7,34.5,79.6,45.2,15.7,29.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Jennings,1993,1995,3,G,5-7,5.583333333333333,160.0,164,6.6,1.5,3.7,43.6,37.4,85.2,52.0,15.5,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Jent,1994,1997,4,F,6-7,6.583333333333333,220.0,6,6.2,2.7,1.3,46.9,42.9,50.0,56.3,11.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Les Jepsen,1991,1992,2,C,7-0,7.0,237.0,52,1.0,1.3,0.0,33.3,0.0,65.0,33.3,8.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Jerebko,2010,2019,10,F,6-10,6.833333333333333,231.0,635,6.2,4.0,0.8,45.7,36.3,77.0,52.0,13.2,25.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Jerome,2020,2022,3,G,6-5,6.416666666666667,195.0,112,7.1,1.9,2.4,39.8,34.4,78.4,49.4,11.6,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Jerrett,2015,2015,1,F,6-10,6.833333333333333,235.0,8,2.0,1.1,0.4,26.9,6.7,100.0,28.8,1.5,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugene Jeter,2011,2011,1,G,5-11,5.916666666666667,175.0,62,4.1,1.1,2.6,40.9,20.0,90.2,42.1,11.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hal Jeter,1970,1970,1,G,6-3,6.25,190.0,5,0.4,0.2,0.0,25.0,27.9,73.7,25.0,-15.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yi Jianlian,2008,2012,5,F,7-0,7.0,240.0,272,7.9,4.9,0.7,40.4,33.3,78.0,42.3,11.2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Joe,2021,2022,2,G,6-4,6.333333333333333,165.0,96,3.7,1.0,0.6,35.5,34.9,85.5,49.0,8.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britton Johnsen,2004,2005,2,F,6-10,6.833333333333333,210.0,26,2.1,2.1,0.6,28.4,6.3,43.8,29.0,2.1,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Johnson,2007,2008,2,F,6-9,6.75,240.0,102,4.3,2.7,0.3,51.7,23.4,67.2,51.7,11.4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alize Johnson,2019,2022,4,F,6-7,6.583333333333333,212.0,72,2.5,3.0,0.4,48.0,25.0,72.1,49.7,15.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amir Johnson,2006,2019,14,F-C,6-9,6.75,240.0,870,7.0,5.4,1.2,57.0,33.2,67.3,58.2,15.8,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Johnson,1959,1962,4,G-F,6-5,6.416666666666667,215.0,292,9.8,4.1,2.3,39.2,28.6,60.5,47.1,11.1,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Johnson,1998,2010,13,G,6-3,6.25,190.0,793,5.6,1.7,2.9,41.4,35.6,74.5,45.4,11.2,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armon Johnson,2011,2012,2,G,6-3,6.25,195.0,47,3.3,1.0,1.2,45.8,40.0,67.9,47.9,10.4,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnie Johnson,1949,1953,5,F-C,6-5,6.416666666666667,236.0,332,8.7,6.2,2.2,41.8,17.7,73.1,48.4,16.1,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery Johnson,1989,2004,16,G,5-10,5.833333333333333,175.0,1054,8.4,1.7,5.5,47.9,14.5,70.6,48.1,14.5,56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
B.J. Johnson,2019,2022,4,G,6-7,6.583333333333333,200.0,21,3.8,1.8,0.1,38.7,38.5,91.7,45.3,9.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brice Johnson,2017,2018,2,F,6-10,6.833333333333333,230.0,21,2.2,1.6,0.1,44.9,0.0,60.0,44.9,18.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buck Johnson,1987,1993,7,F,6-7,6.583333333333333,190.0,505,9.1,3.5,1.7,48.8,11.3,73.8,48.8,11.9,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Johnson,2020,2022,3,F,6-8,6.666666666666667,210.0,183,10.4,3.6,1.4,44.0,39.0,84.3,57.0,13.4,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carldell Johnson,2012,2012,1,G,5-10,5.833333333333333,180.0,15,1.8,0.6,1.5,31.4,26.7,33.3,37.1,8.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
