Player,From,To,Years,Pos,Ht,Height,Wt,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,BLK Champ,STL Champ,TRB Champ,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team
Alan Sawyer,1951,1951,1,F,6-5,6.416666666666667,195.0,33,6.6,3.7,0.8,37.0,23.4,86.0,45.3,10.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Scalabrine,2002,2012,11,F,6-9,6.75,241.0,520,3.1,2.0,0.8,39.0,34.4,78.3,45.0,7.7,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alex Scales,2006,2006,1,G,6-4,6.333333333333333,185.0,1,0.0,0.0,0.0,38.6,27.9,73.7,44.1,10.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeWayne Scales,1981,1984,4,F,6-8,6.666666666666667,208.0,49,4.6,2.9,0.2,41.7,16.7,62.8,41.9,10.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Schade,1973,1973,1,G,6-1,6.083333333333333,170.0,9,1.1,0.7,1.1,28.6,27.9,100.0,44.1,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Schadler,1948,1948,1,F,6-0,6.0,185.0,37,1.5,3.0,0.2,19.8,23.4,76.9,45.3,10.9,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herm Schaefer,1949,1950,2,G-F,6-0,6.0,175.0,123,7.6,3.1,3.2,37.9,28.6,82.8,47.1,12.5,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Schaeffer,1974,1976,3,F,6-5,6.416666666666667,200.0,137,5.9,2.1,0.7,47.2,23.1,73.2,47.6,12.1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bob Schafer,1956,1957,2,G,6-3,6.25,195.0,65,4.2,1.3,1.0,29.8,27.9,77.7,44.1,7.0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Schakel,2022,2022,1,F,6-6,6.5,200.0,4,1.3,2.0,0.0,9.1,16.7,100.0,13.6,-1.2,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Scharnus,1947,1949,3,F,6-2,6.166666666666667,173.0,52,2.0,3.0,0.4,19.9,23.4,61.7,45.3,10.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
